,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
15,randN100_K3_R4.3_L430_22.cnf,100,430,False,0.001774,UNSAT,0.992128,186,5222,UNSAT,2.625036,439,11764,UNSAT,2.912996,452,10747,UNSAT,2.464855,424,10453
16,randN100_K3_R4.3_L430_141.cnf,100,430,False,0.001631,UNSAT,2.529761,379,10374,UNSAT,2.471385,426,10558,UNSAT,5.309191,704,15938,UNSAT,2.376927,439,10308
17,randN100_K3_R4.3_L430_104.cnf,100,430,False,0.002107,UNSAT,2.628525,383,10356,UNSAT,6.048542,753,19219,UNSAT,3.264351,461,11945,UNSAT,6.197557,796,19231
18,randN100_K3_R4.3_L430_12.cnf,100,430,False,0.002549,UNSAT,3.415787,445,12519,UNSAT,15.782297,1197,32507,UNSAT,8.638612,876,22036,UNSAT,11.246651,1068,27251
19,randN100_K3_R4.3_L430_0.cnf,100,430,False,0.002093,UNSAT,2.694594,384,11053,UNSAT,7.504017,772,23056,UNSAT,7.018575,736,19499,UNSAT,8.048935,875,23347
20,randN100_K3_R4.3_L430_198.cnf,100,430,False,0.002713,UNSAT,2.673725,398,10639,UNSAT,6.828898,785,20185,UNSAT,5.351034,650,16103,UNSAT,4.715109,685,16172
21,randN100_K3_R4.3_L430_182.cnf,100,430,False,0.001775,UNSAT,2.19377,340,9324,UNSAT,2.851881,481,12148,UNSAT,3.527627,523,12714,UNSAT,3.208432,554,12574
22,randN100_K3_R4.3_L430_139.cnf,100,430,False,0.002508,UNSAT,3.760139,472,13121,UNSAT,6.096242,763,20292,UNSAT,5.983514,663,17321,UNSAT,5.589307,709,17905
23,randN100_K3_R4.3_L430_166.cnf,100,430,False,0.001915,UNSAT,2.146544,341,9163,UNSAT,4.493924,624,17372,UNSAT,4.929508,611,15354,UNSAT,3.883858,644,14560
24,randN100_K3_R4.3_L430_173.cnf,100,430,False,0.002524,UNSAT,2.780173,391,11070,UNSAT,5.61504,666,19597,UNSAT,4.223702,537,14512,UNSAT,5.202404,677,17222
25,randN100_K3_R4.3_L430_120.cnf,100,430,False,0.002135,UNSAT,1.407175,259,6476,UNSAT,2.495847,420,11021,UNSAT,2.531483,399,9662,UNSAT,2.894285,485,11595
26,randN100_K3_R4.3_L430_101.cnf,100,430,False,0.001729,UNSAT,1.2987,235,6318,UNSAT,3.817725,568,14777,UNSAT,2.85846,443,10774,UNSAT,4.02864,642,15013
27,randN100_K3_R4.3_L430_25.cnf,100,430,False,0.001345,UNSAT,2.282798,344,9464,UNSAT,2.553125,402,11496,UNSAT,3.03204,448,11505,UNSAT,4.760588,697,15822
28,randN100_K3_R4.3_L430_124.cnf,100,430,False,0.002251,UNSAT,3.891145,493,13498,UNSAT,4.66285,644,16372,UNSAT,4.639886,606,14860,UNSAT,5.913666,769,18668
29,randN100_K3_R4.3_L430_177.cnf,100,430,False,0.002172,UNSAT,1.37544,247,6903,UNSAT,4.491955,589,16280,UNSAT,4.204905,590,13629,UNSAT,4.878103,674,16356
