,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
45,randN50_K3_R4.3_L215_33.cnf,50,215,False,0.000206,UNSAT,0.767293,345,5055,UNSAT,0.064424,39,694,UNSAT,0.073386,52,887,UNSAT,0.098622,59,840,UNSAT,0.094443,62,1109
46,randN50_K3_R4.3_L215_211.cnf,50,214,False,0.000134,UNSAT,0.199574,147,1850,UNSAT,0.071245,37,667,UNSAT,0.076546,52,819,UNSAT,0.086773,46,860,UNSAT,0.10165,69,1120
47,randN50_K3_R4.3_L215_4.cnf,50,215,False,0.000177,UNSAT,0.88892,391,5269,UNSAT,0.058811,36,573,UNSAT,0.070163,45,865,UNSAT,0.080172,44,772,UNSAT,0.052605,40,632
48,randN50_K3_R4.3_L215_0.cnf,50,215,False,0.00016,UNSAT,0.275293,183,2429,UNSAT,0.111767,62,1048,UNSAT,0.083395,55,1069,UNSAT,0.073106,40,765,UNSAT,0.113493,74,1151
49,randN50_K3_R4.3_L215_132.cnf,50,215,False,0.000147,UNSAT,0.94653,400,5645,UNSAT,0.070428,37,742,UNSAT,0.062518,38,716,UNSAT,0.063004,30,638,UNSAT,0.060599,37,643
50,randN50_K3_R4.3_L215_115.cnf,50,215,False,0.000142,UNSAT,0.582085,291,4060,UNSAT,0.054612,32,581,UNSAT,0.083055,56,918,UNSAT,0.069226,40,655,UNSAT,0.062479,42,727
51,randN50_K3_R4.3_L215_125.cnf,50,215,False,0.000124,UNSAT,0.830067,396,4906,UNSAT,0.053046,29,559,UNSAT,0.085498,60,964,UNSAT,0.086342,44,726,UNSAT,0.103355,62,1129
52,randN50_K3_R4.3_L215_69.cnf,50,215,False,0.000112,UNSAT,0.659229,331,4370,UNSAT,0.051838,27,571,UNSAT,0.064591,46,707,UNSAT,0.072662,39,688,UNSAT,0.149335,86,1524
53,randN50_K3_R4.3_L215_244.cnf,50,214,False,0.000165,UNSAT,0.395778,247,3139,UNSAT,0.06205,31,629,UNSAT,0.068219,42,807,UNSAT,0.06674,40,600,UNSAT,0.067195,46,748
54,randN50_K3_R4.3_L215_104.cnf,50,215,False,0.000205,UNSAT,0.768926,337,4848,UNSAT,0.091698,49,885,UNSAT,0.125458,81,1270,UNSAT,0.144813,72,1223,UNSAT,0.137255,83,1308
55,randN50_K3_R4.3_L215_74.cnf,50,215,False,0.000169,UNSAT,0.492192,268,3531,UNSAT,0.073848,40,714,UNSAT,0.087495,59,932,UNSAT,0.093911,54,854,UNSAT,0.099138,61,1077
56,randN50_K3_R4.3_L215_139.cnf,50,215,False,0.0002,UNSAT,0.34338,214,2802,UNSAT,0.053237,28,555,UNSAT,0.077162,54,881,UNSAT,0.085796,51,727,UNSAT,0.090488,64,930
57,randN50_K3_R4.3_L215_89.cnf,50,215,False,0.000141,UNSAT,0.355485,215,2731,UNSAT,0.097778,54,997,UNSAT,0.115818,67,1194,UNSAT,0.119494,67,1143,UNSAT,0.08915,72,920
58,randN50_K3_R4.3_L215_77.cnf,50,215,False,0.00022,UNSAT,0.714121,299,4369,UNSAT,0.111396,58,1101,UNSAT,0.148744,80,1599,UNSAT,0.157835,88,1316,UNSAT,0.129235,72,1311
59,randN50_K3_R4.3_L215_298.cnf,50,215,False,0.000202,UNSAT,0.537544,287,3974,UNSAT,0.054613,29,595,UNSAT,0.061372,40,708,UNSAT,0.077122,44,805,UNSAT,0.106774,64,1222
60,randN50_K3_R4.3_L215_183.cnf,50,215,False,0.000137,UNSAT,0.324243,196,2496,UNSAT,0.049261,30,469,UNSAT,0.081564,53,960,UNSAT,0.097694,52,921,UNSAT,0.080197,52,849
61,randN50_K3_R4.3_L215_158.cnf,50,215,False,0.00016,UNSAT,0.367322,221,2953,UNSAT,0.071785,40,708,UNSAT,0.044831,31,457,UNSAT,0.043195,23,381,UNSAT,0.044444,33,464
62,randN50_K3_R4.3_L215_296.cnf,50,214,False,0.000156,UNSAT,0.684666,355,4356,UNSAT,0.088506,50,915,UNSAT,0.0466,33,514,UNSAT,0.07176,41,700,UNSAT,0.069139,52,759
63,randN50_K3_R4.3_L215_258.cnf,50,215,False,0.000224,UNSAT,0.449831,240,3274,UNSAT,0.099986,54,1006,UNSAT,0.089282,55,990,UNSAT,0.087716,54,810,UNSAT,0.113652,74,1214
64,randN50_K3_R4.3_L215_162.cnf,50,215,False,0.000203,UNSAT,0.158775,106,1490,UNSAT,0.084562,44,810,UNSAT,0.151872,90,1609,UNSAT,0.162856,83,1367,UNSAT,0.09661,63,938
65,randN50_K3_R4.3_L215_225.cnf,50,215,False,0.000156,UNSAT,0.679988,331,4501,UNSAT,0.080905,44,776,UNSAT,0.106494,71,1068,UNSAT,0.130399,73,1115,UNSAT,0.109902,71,1219
66,randN50_K3_R4.3_L215_172.cnf,50,215,False,0.00011,UNSAT,0.387702,227,3113,UNSAT,0.079571,48,822,UNSAT,0.066828,39,788,UNSAT,0.10625,60,925,UNSAT,0.075662,57,797
67,randN50_K3_R4.3_L215_165.cnf,50,215,False,0.000111,UNSAT,0.354277,227,2663,UNSAT,0.044544,22,472,UNSAT,0.065668,49,808,UNSAT,0.080484,45,868,UNSAT,0.070382,45,765
68,randN50_K3_R4.3_L215_276.cnf,50,215,False,0.000149,UNSAT,0.453362,258,3470,UNSAT,0.08799,51,854,UNSAT,0.086368,64,907,UNSAT,0.08358,51,746,UNSAT,0.145841,94,1442
69,randN50_K3_R4.3_L215_1.cnf,50,215,False,0.000152,UNSAT,0.375202,225,2956,UNSAT,0.054772,31,590,UNSAT,0.043298,33,568,UNSAT,0.080381,44,736,UNSAT,0.063058,43,735
70,randN50_K3_R4.3_L215_99.cnf,50,215,False,0.00013,UNSAT,0.383935,214,2919,UNSAT,0.09172,48,865,UNSAT,0.078993,51,758,UNSAT,0.055811,32,524,UNSAT,0.075596,56,833
71,randN50_K3_R4.3_L215_262.cnf,50,215,False,0.000116,UNSAT,0.256246,168,2386,UNSAT,0.04751,27,497,UNSAT,0.060643,36,755,UNSAT,0.089631,50,927,UNSAT,0.069321,46,772
